service_id,date,exception_type
BT 25_26-42055,20260523,2
BT 25_26-42055,20260530,2
BT 25_26-42055,20260606,2
BT 25_26-42055,20260620,2
BT 25_26-42054,20260524,2
BT 25_26-42054,20260531,2
BT 25_26-42054,20260607,2
BT 25_26-42054,20260621,2
CBL 25_26-42204,20260529,2
CBL 25_26-42204-0001000,20260529,2
QR 25_26-42783,20260525,2
QR 25_26-42783,20260526,2
QR 25_26-42783,20260527,2
SUN 25_26-41816,20260612,2
SUN 25_26-41816-0010000,20260612,2
SUN 25_26-41816-1111000,20260612,2
SUN 25_26-41816-0000100,20260612,2
SUN 25_26-41816-1110100,20260612,2
SUN 25_26-41816-0001000,20260612,2
BT 25_26-42535,20260613,2
BT 25_26-42536,20260614,2
